epoch	iter	split	loss	ge_penalty	precision	adjusted_precision	tpr	fpr	auprc
1	1	train	0.8855456076562405	5.426083564758301	0.16522601039272597	1.3218080831418078	0.5738011002540588	0.1425749659538269	-
1	2	train	2.661372035741806	13.166522979736328	0.43971289412075354	3.5177031529660283	0.16802291572093964	0.00870311725884676	-
1	3	train	3.192753853542464	14.117862701416016	0.6890575977959433	5.512460782367547	0.2573789656162262	0.006719083525240421	-
1	4	train	4.684020566940307	14.514172554016113	0.4766215794459837	3.8129726355678697	0.08485952764749527	0.005799852777272463	-
1	5	train	3.0465273873673544	6.952754020690918	0.3795671391431154	3.0365371131449233	0.19124574959278107	0.02364250458776951	-
1	6	train	3.507953374584516	5.034472942352295	0.2727804581484859	2.182243665187887	0.18730561435222626	0.031079737469553947	-
1	7	train	2.159600257873535	0.3977830410003662	0.13161174823659055	1.0528939858927244	0.24850034713745117	0.09485471248626709	-
1	8	train	1.368365976959467	3.425201892852783	0.13189421049824085	1.0551536839859268	0.3977249562740326	0.1287422776222229	-
1	9	train	0.958461967193418	6.971367359161377	0.19859197461701777	1.5887357969361422	0.5003435611724854	0.15270590782165527	-
1	10	train	0.6895087783535321	2.373624563217163	0.19310432887580406	1.5448346310064325	0.5832765102386475	0.11986467242240906	-
1	11	train	1.7290981784462929	0.04824638366699219	0.18237817169220874	1.45902537353767	0.31960001587867737	0.08288942277431488	-
1	12	train	2.076974508854059	0.4095003604888916	0.16039540298496022	1.2831632238796817	0.23331402242183685	0.06533724069595337	-
1	13	train	1.8946477836370468	1.908951759338379	0.38668579189357166	3.0934863351485733	0.27778396010398865	0.04768260940909386	-
1	14	train	1.7645544999589522	1.000195026397705	0.2476524723115968	1.9812197784927743	0.38021397590637207	0.05680614709854126	-
1	15	train	1.3046389324100394	1.3742039203643799	0.37946738272486213	3.035739061798897	0.40172967314720154	0.05266587436199188	-
1	16	train	1.3048266445597012	0.05825209617614746	0.2087999420597258	1.6703995364778064	0.4039345383644104	0.07527630776166916	-
1	17	train	0.8389370753006502	0.5007658004760742	0.18417871046847956	1.4734296837478364	0.4899972677230835	0.09744865447282791	-
1	18	train	1.01814715220378	4.064762592315674	0.13938591220578514	1.1150872976462811	0.4047543704509735	0.13369593024253845	-
1	19	train	0.8776530428574636	0.22398972511291504	0.21860725454524474	1.748858036361958	0.47806188464164734	0.09141679108142853	-
1	20	train	1.193328408524394	0.08791399002075195	0.25357285548601866	2.0285828438881492	0.373752236366272	0.07334613054990768	-
